lat,lon,municipio,estado,municipio_id,estado_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,frp
4.05109,-61.28785,AMAJARI,RORAIMA,1400027,14,0.0,0.01,0.27,Amazônia,7.2
4.19601,-60.57761,PACARAIMA,RORAIMA,1400456,14,3.0,0.1,1.0,Amazônia,4.6
4.19726,-60.5687,PACARAIMA,RORAIMA,1400456,14,3.0,0.09,1.0,Amazônia,6.2
2.41295,-61.2055,MUCAJAÍ,RORAIMA,1400308,14,5.0,0.0,0.71,Amazônia,6.1
2.42182,-61.20676,MUCAJAÍ,RORAIMA,1400308,14,5.0,0.0,0.88,Amazônia,5.1
2.78789,-60.10676,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.76,Amazônia,12.0
2.78663,-60.11572,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.84,Amazônia,11.9
2.77896,-60.10551,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.89,Amazônia,68.6
2.77771,-60.11446,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.93,Amazônia,27.8
2.42307,-61.19791,MUCAJAÍ,RORAIMA,1400308,14,5.0,0.0,0.9,Amazônia,3.9
3.79022,-60.64956,PACARAIMA,RORAIMA,1400456,14,2.0,0.0,0.99,Amazônia,3.8
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,52.8
2.7638,-60.1058,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.98,Amazônia,38.6
2.7638,-60.1058,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.98,Amazônia,34.0
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,48.7
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,42.5
1.632,-60.2148,CARACARAÍ,RORAIMA,1400209,14,1.0,0.35,0.45,Amazônia,56.5
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,38.5
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,42.9
-10.77164,-37.14062,LARANJEIRAS,SERGIPE,2803609,28,4.0,0.1,-999.0,Mata Atlântica,2.5
-10.22787,-37.87701,CORONEL JOÃO SÁ,BAHIA,2909208,29,1.0,1.5,0.79,Caatinga,1.0
-12.77826,-38.49666,CANDEIAS,BAHIA,2906501,29,-999.0,1.97,-999.0,Mata Atlântica,1.4
-12.78272,-38.49759,CANDEIAS,BAHIA,2906501,29,-999.0,2.03,-999.0,Mata Atlântica,1.4
-8.96583,-38.00204,INAJÁ,PERNAMBUCO,2607000,26,2.0,0.0,0.2,Caatinga,1.0
-9.61776,-40.62112,JUAZEIRO,BAHIA,2918407,29,1.0,0.0,0.94,Caatinga,1.3
-9.61844,-40.61758,JUAZEIRO,BAHIA,2918407,29,1.0,0.0,0.94,Caatinga,0.5
-12.77742,-38.50127,CANDEIAS,BAHIA,2906501,29,-999.0,2.05,-999.0,Mata Atlântica,4.2
-18.03994,-39.92766,MUCURI,BAHIA,2922003,29,7.0,4.49,-999.0,Mata Atlântica,1.3
-18.61568,-40.26823,SÃO MATEUS,ESPÍRITO SANTO,3204906,32,7.0,0.1,0.18,Mata Atlântica,3.8
-10.05048,-37.81492,MONTE ALEGRE DE SERGIPE,SERGIPE,2804201,28,1.0,1.4,1.0,Caatinga,0.7
-9.6212,-40.61966,JUAZEIRO,BAHIA,2918407,29,1.0,0.0,0.96,Caatinga,2.7
-9.61759,-40.61911,JUAZEIRO,BAHIA,2918407,29,1.0,0.0,0.96,Caatinga,2.7
-7.60128,-37.52472,TABIRA,PERNAMBUCO,2614600,26,0.0,2.01,0.0,Caatinga,0.7
-11.11688,-39.40935,SANTALUZ,BAHIA,2928000,29,2.0,0.5,1.0,Caatinga,1.0
-7.6005,-37.52702,TABIRA,PERNAMBUCO,2614600,26,0.0,2.04,0.0,Caatinga,0.9
-9.97048,-36.40049,TEOTÔNIO VILELA,ALAGOAS,2709152,27,-999.0,4.65,1.0,Mata Atlântica,6.7
-11.11797,-39.40856,SANTALUZ,BAHIA,2928000,29,2.0,0.5,1.0,Caatinga,0.8
-9.97524,-36.4011,TEOTÔNIO VILELA,ALAGOAS,2709152,27,-999.0,4.7,1.0,Mata Atlântica,6.7
-10.22893,-37.8769,CORONEL JOÃO SÁ,BAHIA,2909208,29,1.0,1.5,0.81,Caatinga,0.8
-19.18945,-44.88087,POMPÉU,MINAS GERAIS,3152006,31,2.0,6.16,0.08,Cerrado,0.9
-18.04096,-39.92609,MUCURI,BAHIA,2922003,29,7.0,4.52,-999.0,Mata Atlântica,1.3
-15.28952,-43.74184,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.25,0.95,Caatinga,1.2
-12.49995,-44.68372,BAIANÓPOLIS,BAHIA,2902500,29,2.0,2.33,0.0,Cerrado,1.9
-23.98515,-48.91773,ITAPEVA,SÃO PAULO,3522406,35,2.0,0.4,0.0,Cerrado,0.5
-23.98176,-48.91706,ITAPEVA,SÃO PAULO,3522406,35,2.0,0.42,0.0,Cerrado,0.5
-19.19466,-44.88121,POMPÉU,MINAS GERAIS,3152006,31,2.0,6.22,0.02,Cerrado,0.9
-19.1928,-44.88144,POMPÉU,MINAS GERAIS,3152006,31,2.0,6.21,0.04,Cerrado,0.9
-17.0957,-43.80459,BOCAIÚVA,MINAS GERAIS,3107307,31,4.0,0.91,0.51,Cerrado,0.7
-16.99459,-42.83274,BOTUMIRIM,MINAS GERAIS,3108503,31,3.0,2.93,0.11,Cerrado,1.7
-16.68158,-43.88387,MONTES CLAROS,MINAS GERAIS,3143302,31,3.0,0.79,-999.0,Cerrado,0.7
-16.66642,-43.15731,ITACAMBIRA,MINAS GERAIS,3132008,31,3.0,0.4,0.49,Cerrado,0.9
-16.66295,-43.15676,ITACAMBIRA,MINAS GERAIS,3132008,31,3.0,0.4,0.44,Cerrado,0.4
-16.64167,-44.10348,MONTES CLAROS,MINAS GERAIS,3143302,31,4.0,0.2,0.51,Cerrado,1.1
-16.61193,-44.07204,CORAÇÃO DE JESUS,MINAS GERAIS,3118809,31,3.0,0.19,0.15,Cerrado,0.9
-16.608,-44.07522,CORAÇÃO DE JESUS,MINAS GERAIS,3118809,31,3.0,0.16,0.15,Cerrado,2.0
-16.60464,-44.07468,CORAÇÃO DE JESUS,MINAS GERAIS,3118809,31,4.0,0.15,0.14,Cerrado,2.0
-16.27142,-46.23037,RIACHINHO,MINAS GERAIS,3154457,31,4.0,0.0,0.18,Cerrado,0.7
-15.28896,-43.74553,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.26,0.85,Cerrado,0.9
-15.28559,-43.74499,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.29,0.79,Cerrado,0.9
-15.28503,-43.74869,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.3,0.63,Cerrado,0.9
-23.70382,-46.47507,MAUÁ,SÃO PAULO,3529401,35,3.0,0.0,-999.0,Mata Atlântica,0.5
-23.42719,-47.73354,CAPELA DO ALTO,SÃO PAULO,3510302,35,2.0,0.5,0.0,Mata Atlântica,2.4
-23.40619,-46.55455,GUARULHOS,SÃO PAULO,3518800,35,3.0,0.0,0.0,Mata Atlântica,0.9
-23.339,-46.77153,CAIEIRAS,SÃO PAULO,3509007,35,3.0,0.0,0.0,Mata Atlântica,0.9
-22.90198,-43.75467,RIO DE JANEIRO,RIO DE JANEIRO,3304557,33,4.0,0.0,-999.0,Mata Atlântica,1.4
-22.85761,-42.97918,SÃO GONÇALO,RIO DE JANEIRO,3304904,33,-999.0,0.0,0.45,Mata Atlântica,1.0
